"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","test_checkout[Checkout test 4]","Tests","2026-01-09","passed","2026-01-09","TestCheckout","checkout_test","",""
"","80","test_checkout[Checkout test 2]","Tests","2026-01-09","passed","2026-01-09","TestCheckout","checkout_test","",""
"","350","test_login[Login test 2]","Tests","2026-01-09","passed","2026-01-09","TestLogin","Login_test","",""
"","353","test_login[Login test 1]","Tests","2026-01-09","passed","2026-01-09","TestLogin","Login_test","",""
"","353","test_login[Login test 4]","Tests","2026-01-09","passed","2026-01-09","TestLogin","Login_test","",""
"","83","test_checkout[Checkout test 3]","Tests","2026-01-09","passed","2026-01-09","TestCheckout","checkout_test","",""
"","188","Purchase","Tests","2026-01-09","passed","2026-01-09","TestFullPurchase","E2E_full_test","",""
"","84","test_checkout[Checkout test 1]","Tests","2026-01-09","passed","2026-01-09","TestCheckout","checkout_test","",""
"","86","test_checkout[Checkout test 5]","Tests","2026-01-09","passed","2026-01-09","TestCheckout","checkout_test","",""
"","348","test_login[Login test 3]","Tests","2026-01-09","passed","2026-01-09","TestLogin","Login_test","",""
"","72","Purchase","Tests","2026-01-09","passed","2026-01-09","TestProducts","products_test","",""
